DEPTH,CALS,DEVI,DRHO,FC13,FC24,FCAL,TENS,HTEN,MRES,MTEM,NPHI,LLD,LLS,SPED,PEF,MSFL,SP,GR,RHOB,DT
1728.9607,12.4882,40.3343,-0.01466724,12.1604,12.2164,12.1884,3306.875,1479.843,0.048833101,61.5415,0.3556,-3,2.222445936,683.0562,4.698056278,-1,49.7744,13.8972,2.449075612,55.4295
1729.1131,12.4882,40.3226,-0.01466724,12.1544,12.2107,12.1826,3300.161,1481.195,0.048833101,61.5622,0.3439,-3,2.222445936,683.0562,4.698056278,-1,49.6246,15.2381,2.449075612,55.475
1729.2655,12.4882,40.317,-0.01466724,12.163,12.2058,12.1844,3301.504,1476.365,0.048833101,61.5553,0.3586,-3,2.222445936,679.8085,4.698056278,-1,49.5373,16.971,2.449075612,55.6218
1729.4179,12.4882,40.3144,-0.01466724,12.1676,12.2031,12.1853,3298.281,1471.987,0.048833101,61.5535,0.375,-3,2.222445936,683.56,4.698056278,-1,49.4374,16.8953,2.449075612,55.6218
1729.5703,12.4882,40.3047,-0.01466724,12.1689,12.2056,12.1873,3298.281,1474.598,0.048833101,61.5787,0.3727,-3,2.222445936,688.3534,4.698056278,-1,49.35,19.5771,2.449075612,55.8625
1729.7227,12.4882,40.2948,-0.01466724,12.1643,12.2062,12.1853,3304.189,1472.589,0.048833101,61.5711,0.347,-3,2.222445936,685.6707,4.698056278,-1,49.1752,19.7605,2.449075612,55.6411
1729.8751,12.4882,40.2907,-0.01466724,12.1714,12.2065,12.189,3302.847,1473.695,0.048833101,61.564,0.3416,-3,2.222445936,685.6707,4.698056278,-1,49.1128,18.3302,2.449075612,55.04
1730.0275,12.4882,40.2864,-0.01466724,12.1728,12.2099,12.1913,3302.578,1472.558,0.048833101,61.5828,0.3188,-3,2.222445936,693.5895,4.698056278,-1,49.0004,18.1514,2.449075612,56.7411
1730.1799,12.4882,40.2732,-0.01466724,12.1722,12.2072,12.1897,3297.476,1472.327,0.048833101,61.5825,0.3251,-3,2.222445936,695.9104,4.698056278,-1,49.0254,18.5984,2.449075612,55.6965
1730.3323,12.4882,40.2629,-0.01466724,12.1623,12.2027,12.1825,3291.299,1467.784,0.048833101,61.5739,0.2987,-3,2.222445936,699.0583,4.698056278,-1,49.1003,18.2408,2.449075612,55.6812
1730.4847,12.4882,40.2578,-0.01466724,12.1429,12.1841,12.1635,3292.104,1465.352,0.048833101,61.5964,0.2913,-3,2.222445936,702.8729,4.698056278,-1,49.1877,17.7892,2.449075612,55.5545
1730.6371,12.4882,40.2498,-0.01466724,12.1185,12.1619,12.1402,3293.716,1468.958,0.048833101,61.6001,0.2728,-3,2.222445936,702.8729,4.698056278,-1,49.0878,18.862,2.449075612,55.6536
1730.7895,12.4882,40.2443,-0.01466724,12.1127,12.1492,12.131,3287.808,1469.727,0.048833101,61.5965,0.2791,-3,2.222445936,699.3578,4.698056278,-1,49.0254,19.4877,2.449075612,53.4203
1730.9419,12.4882,40.2425,-0.01466724,12.1186,12.1263,12.1225,3286.196,1471.696,0.048833101,61.6145,0.2902,-3,2.222445936,696.029,4.698056278,-1,48.9005,19.8453,2.449075612,58.4196
1731.0943,12.4882,40.2338,-0.01466724,12.1351,12.1216,12.1284,3289.419,1470.738,0.048833101,61.6147,0.3098,-3,2.222445936,697.9565,4.698056278,-1,48.7008,21.0968,2.449075612,59.6524
